         7772742 function calls (7770539 primitive calls) in 7.887 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      186    0.000    0.000    0.000    0.000 typing.py:961(_is_unpacked_typevartuple)
      104    0.000    0.000    0.000    0.000 typing.py:977(_typevar_subst)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     2170    0.000    0.000    0.000    0.000 {built-in method math.sin}
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
       50    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
        1    0.000    0.000    0.000    0.000 platform.py:1(<module>)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(path_stats)
     1451    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       10    0.000    0.000    0.000    0.000 typing.py:1047(_generic_class_getitem)
      186    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      350    0.000    0.000    0.000    0.000 function_base.py:456(_needs_add_docstring)
     2267    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
     1686    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      458    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1456(_path_hooks)
        1    0.000    0.000    0.000    0.000 _scimath_impl.py:1(<module>)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       93    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      279    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      682    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        5    0.000    0.000    0.000    0.000 typing.py:1822(__new__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
       93    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
     2006    0.000    0.000    0.000    0.000 multiarray.py:1085(copyto)
       75    0.000    0.000    0.000    0.000 inspect.py:2712(__init__)
      448    0.000    0.000    0.000    0.000 typing.py:166(_type_convert)
        2    0.000    0.000    0.000    0.000 enum.py:528(__new__)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
      305    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      458    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       38    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
     1736    0.000    0.000    0.000    0.000 typing.py:774(<genexpr>)
     2004    0.000    0.000    0.000    0.000 numeric.py:91(_zeros_like_dispatcher)
      516    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      822    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
        8    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
      516    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      671    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      954    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 array_utils.py:1(<module>)
  672/594    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _ufunclike_impl.py:1(<module>)
      167    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
      106    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
     1002    0.000    0.000    0.000    0.000 _function_base_impl.py:920(_copy_dispatcher)
     2004    0.000    0.000    0.000    0.000 multiarray.py:115(empty_like)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      927    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      372    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
      458    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
        9    0.000    0.000    0.000    0.000 _compiler.py:511(_compile_info)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      458    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
      227    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
        8    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
      927    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      610    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
      101    0.000    0.000    0.000    0.000 typing.py:307(_unpack_args)
        7    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
      375    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
      256    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
